ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,2.4GHz,U1,QFN-48_6X6X04P,1,NRF52832-QFAA-R,NORDIC,LCSC,C77540
2,Jlink,1,J-LINK_NEEDLE_ADAPTER,1,?,,,
3,4u7,C1,0402',1,4.7 uF,,,
4,100n,"C2,C3,C6,C7,C8",0402',5,100nF,,,
5,- 32MHz,X1,CRYSTAL-SMD-3225,1,1XTV26000PEA,KDS Daishinku,LCSC,C253733
6,12p,"C4,C5",0402',2,12pF,,,
7,1u,C9,0402',1,1uF,,,
8,3.9n,L1,0603',1,3.9nF,,,
9,0.8p,C10,0402',1,0.8pF,,,
10,Sunlord,L2,ANT-SMD2P-5.2X2.1,1,SLDA52-2R540G-S1TF,Sunlord,LCSC,C279814
11,CR2032-BS-6-1,B2,BATTERY-3,1,CR2032-BS-6-1,Q&J,LCSC,C70377